Station Name,Datetime,Wind_Dir_Deg,Wind_Max_mph,Air_Temp_Avg
Briones,2021-05-07 12:00:00,282,16.0,73.0
Briones,2021-05-07 13:00:00,275,13.0,74.0
Briones,2021-05-07 14:00:00,230,14.0,72.0
Briones,2021-05-07 15:00:00,229,14.0,72.0
Briones,2021-05-07 16:00:00,226,17.0,69.0
Briones,2021-05-07 17:00:00,227,19.0,66.0
Briones,2021-05-07 18:00:00,228,18.0,62.0
Briones,2021-05-07 19:00:00,226,18.0,59.0
Briones,2021-05-07 20:00:00,229,16.0,58.0
Briones,2021-05-07 21:00:00,233,14.0,58.0
Briones,2021-05-07 22:00:00,256,12.0,56.0
Briones,2021-05-07 23:00:00,304,14.0,57.0
Briones,2021-05-07 00:00:00,259,12.0,54.0
Briones,2021-05-06 01:00:00,224,19.0,47.0
Briones,2021-05-06 02:00:00,228,24.0,48.0
Briones,2021-05-06 03:00:00,230,22.0,49.0
Briones,2021-05-06 04:00:00,228,22.0,48.0
Briones,2021-05-06 05:00:00,227,24.0,48.0
Briones,2021-05-06 06:00:00,225,23.0,48.0
Briones,2021-05-06 07:00:00,225,20.0,54.0
Briones,2021-05-06 08:00:00,226,20.0,56.0
Briones,2021-05-06 09:00:00,224,19.0,62.0
Briones,2021-05-06 10:00:00,227,17.0,63.0
Briones,2021-05-06 11:00:00,226,19.0,65.0
Briones,2021-05-06 12:00:00,224,16.0,71.0
Briones,2021-05-06 13:00:00,229,18.0,69.0
Briones,2021-05-06 14:00:00,230,23.0,67.0
Briones,2021-05-06 15:00:00,226,23.0,66.0
Briones,2021-05-06 16:00:00,227,20.0,64.0
Briones,2021-05-06 17:00:00,225,22.0,62.0
Briones,2021-05-06 18:00:00,226,22.0,57.0
Briones,2021-05-06 19:00:00,228,25.0,56.0
Briones,2021-05-06 20:00:00,228,24.0,54.0
Briones,2021-05-06 21:00:00,232,24.0,52.0
Briones,2021-05-06 22:00:00,227,25.0,51.0
Briones,2021-05-06 23:00:00,220,18.0,49.0
Briones,2021-05-06 00:00:00,224,16.0,48.0
Briones,2021-05-05 01:00:00,227,7.0,62.0
Briones,2021-05-05 02:00:00,229,6.0,62.0
Briones,2021-05-05 03:00:00,226,6.0,61.0
Briones,2021-05-05 04:00:00,209,4.0,64.0
Briones,2021-05-05 05:00:00,231,5.0,64.0
Briones,2021-05-05 06:00:00,221,4.0,68.0
Briones,2021-05-05 07:00:00,211,4.0,74.0
Briones,2021-05-05 08:00:00,39,7.0,76.0
Briones,2021-05-05 09:00:00,34,11.0,78.0
Briones,2021-05-05 10:00:00,41,13.0,83.0
Briones,2021-05-05 11:00:00,39,9.0,85.0
Briones,2021-05-05 12:00:00,23,10.0,86.0
Briones,2021-05-05 13:00:00,254,11.0,89.0
Briones,2021-05-05 14:00:00,221,15.0,87.0
Briones,2021-05-05 15:00:00,227,20.0,84.0
Briones,2021-05-05 16:00:00,226,22.0,78.0
Briones,2021-05-05 17:00:00,226,20.0,69.0
Briones,2021-05-05 18:00:00,229,18.0,61.0
Briones,2021-05-05 19:00:00,223,18.0,53.0
Briones,2021-05-05 20:00:00,229,21.0,52.0
Briones,2021-05-05 21:00:00,228,18.0,51.0
Briones,2021-05-05 22:00:00,225,19.0,52.0
Briones,2021-05-05 23:00:00,225,17.0,49.0
Briones,2021-05-05 00:00:00,224,19.0,48.0
Briones,2021-05-04 01:00:00,231,14.0,61.0
Briones,2021-05-04 02:00:00,231,11.0,60.0
Briones,2021-05-04 03:00:00,228,12.0,59.0
Briones,2021-05-04 04:00:00,232,12.0,58.0
Briones,2021-05-04 05:00:00,241,7.0,58.0
Briones,2021-05-04 06:00:00,243,7.0,64.0
Briones,2021-05-04 07:00:00,222,6.0,69.0
Briones,2021-05-04 08:00:00,218,11.0,70.0
Briones,2021-05-04 09:00:00,51,6.0,77.0
Briones,2021-05-04 10:00:00,38,10.0,82.0
Briones,2021-05-04 11:00:00,17,12.0,84.0
Briones,2021-05-04 12:00:00,30,12.0,85.0
Briones,2021-05-04 13:00:00,242,10.0,84.0
Briones,2021-05-04 14:00:00,233,15.0,84.0
Briones,2021-05-04 15:00:00,234,15.0,83.0
Briones,2021-05-04 16:00:00,230,18.0,81.0
Briones,2021-05-04 17:00:00,226,15.0,79.0
Briones,2021-05-04 18:00:00,225,16.0,73.0
Briones,2021-05-04 19:00:00,225,13.0,67.0
Briones,2021-05-04 20:00:00,226,11.0,67.0
Briones,2021-05-04 21:00:00,223,11.0,65.0
Briones,2021-05-04 22:00:00,246,7.0,68.0
Briones,2021-05-04 23:00:00,247,6.0,65.0
Briones,2021-05-04 00:00:00,235,6.0,64.0
Briones,2021-05-03 01:00:00,242,10.0,55.0
Briones,2021-05-03 02:00:00,238,12.0,55.0
Briones,2021-05-03 03:00:00,316,16.0,60.0
Briones,2021-05-03 04:00:00,332,19.0,61.0
Briones,2021-05-03 05:00:00,319,15.0,59.0
Briones,2021-05-03 06:00:00,335,13.0,65.0
Briones,2021-05-03 07:00:00,316,12.0,69.0
Briones,2021-05-03 08:00:00,349,12.0,73.0
Briones,2021-05-03 09:00:00,16,12.0,78.0
Briones,2021-05-03 10:00:00,18,15.0,81.0
Briones,2021-05-03 11:00:00,26,16.0,82.0
Briones,2021-05-03 12:00:00,351,16.0,86.0
Briones,2021-05-03 13:00:00,346,14.0,86.0
Briones,2021-05-03 14:00:00,273,16.0,88.0
Briones,2021-05-03 15:00:00,223,19.0,82.0
Briones,2021-05-03 16:00:00,233,21.0,81.0
Briones,2021-05-03 17:00:00,225,24.0,78.0
Briones,2021-05-03 18:00:00,229,22.0,74.0
Briones,2021-05-03 19:00:00,247,15.0,71.0
Briones,2021-05-03 20:00:00,240,15.0,68.0
Briones,2021-05-03 21:00:00,238,12.0,66.0
Briones,2021-05-03 22:00:00,233,13.0,64.0
Briones,2021-05-03 23:00:00,233,14.0,63.0
Briones,2021-05-03 00:00:00,238,12.0,61.0
Briones,2021-05-02 01:00:00,227,17.0,50.0
Briones,2021-05-02 02:00:00,235,20.0,50.0
Briones,2021-05-02 03:00:00,240,16.0,52.0
Briones,2021-05-02 04:00:00,235,16.0,51.0
Briones,2021-05-02 05:00:00,232,17.0,51.0
Briones,2021-05-02 06:00:00,236,20.0,53.0
Briones,2021-05-02 07:00:00,226,22.0,55.0
Briones,2021-05-02 08:00:00,246,18.0,62.0
Briones,2021-05-02 09:00:00,240,12.0,67.0
Briones,2021-05-02 10:00:00,279,14.0,74.0
Briones,2021-05-02 11:00:00,241,16.0,73.0
Briones,2021-05-02 12:00:00,281,16.0,78.0
Briones,2021-05-02 13:00:00,232,16.0,75.0
Briones,2021-05-02 14:00:00,228,23.0,75.0
Briones,2021-05-02 15:00:00,230,24.0,74.0
Briones,2021-05-02 16:00:00,229,23.0,72.0
Briones,2021-05-02 17:00:00,228,24.0,68.0
Briones,2021-05-02 18:00:00,226,23.0,65.0
Briones,2021-05-02 19:00:00,236,23.0,62.0
Briones,2021-05-02 20:00:00,242,20.0,61.0
Briones,2021-05-02 21:00:00,237,13.0,59.0
Briones,2021-05-02 22:00:00,238,14.0,59.0
Briones,2021-05-02 23:00:00,251,9.0,57.0
Briones,2021-05-02 00:00:00,244,10.0,57.0
Briones,2021-05-01 01:00:00,223,24.0,47.0
Briones,2021-05-01 02:00:00,227,26.0,46.0
Briones,2021-05-01 03:00:00,225,20.0,47.0
Briones,2021-05-01 04:00:00,222,19.0,47.0
Briones,2021-05-01 05:00:00,223,18.0,49.0
Briones,2021-05-01 06:00:00,222,17.0,53.0
Briones,2021-05-01 07:00:00,220,18.0,59.0
Briones,2021-05-01 08:00:00,229,15.0,63.0
Briones,2021-05-01 09:00:00,227,18.0,67.0
Briones,2021-05-01 10:00:00,227,21.0,65.0
Briones,2021-05-01 11:00:00,231,25.0,67.0
Briones,2021-05-01 12:00:00,229,25.0,68.0
Briones,2021-05-01 13:00:00,230,23.0,67.0
Briones,2021-05-01 14:00:00,222,25.0,67.0
Briones,2021-05-01 15:00:00,222,21.0,65.0
Briones,2021-05-01 16:00:00,224,24.0,63.0
Briones,2021-05-01 17:00:00,224,23.0,60.0
